# ----------------------------------------,,,,,,,
# cornellsun.com,,,,,,,
# Demographics: Age,,,,,,,
# 20161108-20171129,,,,,,,
# ----------------------------------------,,,,,,,
,,Total,18-24,25-34,45-54,35-44,55-64
18-24,"""Page not found | The Cornell Daily Sun""",5682,5682,0,0,0,0
18-24,"""Police Searching for Missing Cornell Student | The Cornell Daily Sun""",5661,5661,0,0,0,0
25-34,"""Missing Cornell Student Found Dead in Gorge | The Cornell Daily Sun""",5206,0,5206,0,0,0
65+,"""Cayuga‰Ûªs Waiters Permanently Dismissed From Campus | The Cornell Daily Sun""",5206,0,0,0,0,0
25-34,"""Ithaca Police Arrest Cornell Student for Possible Hate Crime in Collegetown | The Cornell Daily Sun""",5142,0,5142,0,0,0
25-34,"""Largest Witchcraft Collection in North America Opens at Cornell | The Cornell Daily Sun""",5000,0,5000,0,0,0
18-24,"""Psi Upsilon to Immediately Close Cornell Chapter, Will Open House to Student Groups | The Cornell Daily Sun""",4993,4993,0,0,0,0
18-24,"""Faculty Fears ‰Û÷Chilling Effect‰Ûª After Cornell Charges Student for Sharing Documents | The Cornell Daily Sun""",4936,4936,0,0,0,0
45-54,"""Cornell Chimes to Play Grateful Dead Commemoration Concert | The Cornell Daily Sun""",4908,0,0,4908,0,0
35-44,"""Largest Witchcraft Collection in North America Opens at Cornell | The Cornell Daily Sun""",4844,0,0,0,4844,0
18-24,"""CALS Student Remembered as Leader of LGBTQ, Latinx Communities | The Cornell Daily Sun""",4609,4609,0,0,0,0
35-44,"""Louisiana Student Cries After Receiving Cornell Acceptance Letter in Viral Video | The Cornell Daily Sun""",4517,0,0,0,4517,0
45-54,"""Largest Witchcraft Collection in North America Opens at Cornell | The Cornell Daily Sun""",4510,0,0,4510,0,0
25-34,"""Louisiana Student Cries After Receiving Cornell Acceptance Letter in Viral Video | The Cornell Daily Sun""",4134,0,4134,0,0,0
25-34,"""Black Cornell Students Occupy Willard Straight Hall After Delivering Demands to President Pollack | The Cornell Daily Sun""",4098,0,4098,0,0,0
18-24,"""Guwop Home! Gucci Mane to Perform at Cornell in March | The Cornell Daily Sun""",4077,4077,0,0,0,0
18-24,"""Cornell Republicans Chair Fires Back at Ann Coulter ‰Ûª84 After Tweet | The Cornell Daily Sun""",4070,4070,0,0,0,0
25-34,"""Psi Upsilon to Immediately Close Cornell Chapter, Will Open House to Student Groups | The Cornell Daily Sun""",3892,0,3892,0,0,0
25-34,"""Two Headliners Announced for Slope Day 2017 | The Cornell Daily Sun""",3885,0,3885,0,0,0
35-44,"""Missing Cornell Student Found Dead in Gorge | The Cornell Daily Sun""",3807,0,0,0,3807,0
55-64,"""Cornell Chimes to Play Grateful Dead Commemoration Concert | The Cornell Daily Sun""",3715,0,0,0,0,3715
18-24,"""SEX ON THURSDAY | A Guide to Road Head | The Cornell Daily Sun""",3700,3700,0,0,0,0
25-34,"""Devastated Cornellians ‰Û÷Mourn‰Ûª Election of Donald Trump at Cry In | The Cornell Daily Sun""",3672,0,3672,0,0,0
18-24,"""Alpha Xi Delta Sorority Suspended; First Sorority Suspension in 5 Years | The Cornell Daily Sun""",3587,3587,0,0,0,0
35-44,"""Cornell Chimes to Play Grateful Dead Commemoration Concert | The Cornell Daily Sun""",3580,0,0,0,3580,0
45-54,"""Ithaca Police Arrest Cornell Student for Possible Hate Crime in Collegetown | The Cornell Daily Sun""",3580,0,0,3580,0,0
25-34,"""Police Searching for Missing Cornell Student | The Cornell Daily Sun""",3537,0,3537,0,0,0
18-24,"""Hundreds of Cornell Students Occupy Willard Straight Hall After Delivering Demands to University | The Cornell Daily Sun""",3473,3473,0,0,0,0
25-34,"""Hundreds of Cornell Students Occupy Willard Straight Hall After Delivering Demands to University | The Cornell Daily Sun""",3473,0,3473,0,0,0
35-44,"""Police Searching for Missing Cornell Student | The Cornell Daily Sun""",3452,0,0,0,3452,0
45-54,"""Missing Cornell Student Found Dead in Gorge | The Cornell Daily Sun""",3381,0,0,3381,0,0
25-34,"""Page not found | The Cornell Daily Sun""",3338,0,3338,0,0,0
45-54,"""Devastated Cornellians ‰Û÷Mourn‰Ûª Election of Donald Trump at Cry In | The Cornell Daily Sun""",3310,0,0,3310,0,0
25-34,"""Faculty Fears ‰Û÷Chilling Effect‰Ûª After Cornell Charges Student for Sharing Documents | The Cornell Daily Sun""",3260,0,3260,0,0,0
18-24,"""Former Cornell Fraternity President Pleads Guilty to Misdemeanor After Alleged Sexual Assault in Fraternity Bedroom | The Cornell Daily Sun""",3232,3232,0,0,0,0
35-44,"""Black Cornell Students Occupy Willard Straight Hall After Delivering Demands to President Pollack | The Cornell Daily Sun""",3203,0,0,0,3203,0
18-24,"""NYS Dive Team Finds Dead Body of Cornell Student in Ithaca Falls Gorge | The Cornell Daily Sun""",3090,3090,0,0,0,0
18-24,"""Definitive Rankings of All Eateries on Campus | The Cornell Daily Sun""",3061,3061,0,0,0,0
55-64,"""Largest Witchcraft Collection in North America Opens at Cornell | The Cornell Daily Sun""",2962,0,0,0,0,2962
35-44,"""Devastated Cornellians ‰Û÷Mourn‰Ûª Election of Donald Trump at Cry In | The Cornell Daily Sun""",2955,0,0,0,2955,0
35-44,"""Ithaca Police Arrest Cornell Student for Possible Hate Crime in Collegetown | The Cornell Daily Sun""",2919,0,0,0,2919,0
18-24,"""Cornell Hits Record Low Admissions Rate | The Cornell Daily Sun""",2891,2891,0,0,0,0
25-34,"""Cornell Alumnus Responsible for Oscars Envelope Bungle | The Cornell Daily Sun""",2869,0,2869,0,0,0
18-24,"""Expelled Cornell Student Used Fake Grades to Gain Admission to 3 Colleges | The Cornell Daily Sun""",2834,2834,0,0,0,0
45-54,"""Black Cornell Students Occupy Willard Straight Hall After Delivering Demands to President Pollack | The Cornell Daily Sun""",2827,0,0,2827,0,0
18-24,"""ICE Agents Arrest ‰Û÷Unlawfully Present Mexican National‰Ûª in Ithaca | The Cornell Daily Sun""",2784,2784,0,0,0,0
18-24,"""Devastated Cornellians ‰Û÷Mourn‰Ûª Election of Donald Trump at Cry In | The Cornell Daily Sun""",2756,2756,0,0,0,0
45-54,"""Louisiana Student Cries After Receiving Cornell Acceptance Letter in Viral Video | The Cornell Daily Sun""",2727,0,0,2727,0,0
18-24,"""A Daring Photographer With a Love for Frisbee: Friends Remember Aalaap Narasipura ‰Ûª18 | The Cornell Daily Sun""",2720,2720,0,0,0,0
35-44,"""A Daring Photographer With a Love for Frisbee: Friends Remember Aalaap Narasipura ‰Ûª18 | The Cornell Daily Sun""",2720,0,0,0,2720,0
18-24,"""Cornell Suspends Third Fraternity in Just Over One Month | The Cornell Daily Sun""",2692,2692,0,0,0,0
45-54,"""Man Fatally Shot, Run Over in Walmart Parking Lot, Witness Says | The Cornell Daily Sun""",2678,0,0,2678,0,0
18-24,"""Black Cornell Students Occupy Willard Straight Hall After Delivering Demands to President Pollack | The Cornell Daily Sun""",2670,2670,0,0,0,0
25-34,"""Cornell Republicans Chair Fires Back at Ann Coulter ‰Ûª84 After Tweet | The Cornell Daily Sun""",2621,0,2621,0,0,0
25-34,"""A Daring Photographer With a Love for Frisbee: Friends Remember Aalaap Narasipura ‰Ûª18 | The Cornell Daily Sun""",2614,0,2614,0,0,0
18-24,"""LIEBERMAN | The Greek System is Detrimental to Cornell‰Ûªs Campus Life | The Cornell Daily Sun""",2607,2607,0,0,0,0
25-34,"""Hundreds ‰Û÷Rickrolled‰Ûª in Mysterious Campus Prank at Cornell | The Cornell Daily Sun""",2599,0,2599,0,0,0
18-24,"""Daily Show Host Trevor Noah to Perform at Cornell in September | The Cornell Daily Sun""",2564,2564,0,0,0,0
25-34,"""ICE Agents Arrest ‰Û÷Unlawfully Present Mexican National‰Ûª in Ithaca | The Cornell Daily Sun""",2493,0,2493,0,0,0
18-24,"""Cornell Experience Inspires MasterChef Finalist | The Cornell Daily Sun""",2436,2436,0,0,0,0
55-64,"""Devastated Cornellians ‰Û÷Mourn‰Ûª Election of Donald Trump at Cry In | The Cornell Daily Sun""",2401,0,0,0,0,2401
18-24,"""Former Cornell Fraternity President Sentenced to Probation for Sex Offense | The Cornell Daily Sun""",2394,2394,0,0,0,0
18-24,"""Hundreds ‰Û÷Rickrolled‰Ûª in Mysterious Campus Prank at Cornell | The Cornell Daily Sun""",2379,2379,0,0,0,0
25-34,"""Man Fatally Shot, Run Over in Walmart Parking Lot, Witness Says | The Cornell Daily Sun""",2379,0,2379,0,0,0
18-24,"""Former Fraternity House Vandalized Following Possible Hate Crime | The Cornell Daily Sun""",2372,2372,0,0,0,0
35-44,"""Hundreds of Cornell Students Occupy Willard Straight Hall After Delivering Demands to University | The Cornell Daily Sun""",2372,0,0,0,2372,0
18-24,"""1 in 10 C.U. Students Are From Richest 1%, While Low-Income Students Remain Underrepresented, Study Finds | The Cornell Daily Sun""",2351,2351,0,0,0,0
65+,"""Police Identify White Cornell Student Arrested Following Assault of Black Cornell Student | The Cornell Daily Sun""",2344,0,0,0,0,0
25-34,"""Former Vice President Joe Biden Named 2017 Convocation Speaker | The Cornell Daily Sun""",2337,0,2337,0,0,0
35-44,"""Man Fatally Shot, Run Over in Walmart Parking Lot, Witness Says | The Cornell Daily Sun""",2322,0,0,0,2322,0
55-64,"""Ithaca Police Arrest Cornell Student for Possible Hate Crime in Collegetown | The Cornell Daily Sun""",2315,0,0,0,0,2315
18-24,"""Anti-Semitic Posters Appear on Ezra Cornell Statue, Campus Buildings | The Cornell Daily Sun""",2294,2294,0,0,0,0
25-34,"""BSU Declares ‰Û÷State of Emergency,‰Ûª Cornell President Launches Initiatives Following Assault | The Cornell Daily Sun""",2287,0,2287,0,0,0
18-24,"""First Chinese-Born NHL Draft Pick Commits to Cornell | The Cornell Daily Sun""",2251,2251,0,0,0,0
18-24,"""Lambda Chi Alpha Fraternity Suspended, Second Fraternity Suspension This Month | The Cornell Daily Sun""",2251,2251,0,0,0,0
18-24,"""Hundreds of Cornellians Walk Out of Class, Protesting Election‰Ûªs ‰Û÷Hate Speech‰Ûª | The Cornell Daily Sun""",2230,2230,0,0,0,0
45-54,"""News | The Cornell Daily Sun""",2195,0,0,2195,0,0
18-24,"""Louisiana Student Cries After Receiving Cornell Acceptance Letter in Viral Video | The Cornell Daily Sun""",2180,2180,0,0,0,0
45-54,"""Cornell Hits Record Low Admissions Rate | The Cornell Daily Sun""",2180,0,0,2180,0,0
18-24,"""Pirates of the Caribbean 5: Success or Failure? | The Cornell Daily Sun""",2173,2173,0,0,0,0
18-24,"""Cornell Alumnus Responsible for Oscars Envelope Bungle | The Cornell Daily Sun""",2159,2159,0,0,0,0
18-24,"""Student Assembly Election Results Announced | The Cornell Daily Sun""",2124,2124,0,0,0,0
45-54,"""Hundreds ‰Û÷Rickrolled‰Ûª in Mysterious Campus Prank at Cornell | The Cornell Daily Sun""",2124,0,0,2124,0,0
18-24,"""Man Shot on Ithaca Commons After Suspect Fires Into Crowd | The Cornell Daily Sun""",2109,2109,0,0,0,0
25-34,"""Hundreds of Cornellians Walk Out of Class, Protesting Election‰Ûªs ‰Û÷Hate Speech‰Ûª | The Cornell Daily Sun""",2045,0,2045,0,0,0
45-54,"""Page not found | The Cornell Daily Sun""",2024,0,0,2024,0,0
55-64,"""Black Cornell Students Occupy Willard Straight Hall After Delivering Demands to President Pollack | The Cornell Daily Sun""",2017,0,0,0,0,2017
45-54,"""Police Searching for Missing Cornell Student | The Cornell Daily Sun""",2003,0,0,2003,0,0
25-34,"""Expelled Cornell Student Used Fake Grades to Gain Admission to 3 Colleges | The Cornell Daily Sun""",1989,0,1989,0,0,0
18-24,"""Deer Dies in Cornell Graduate Student Office After Leaping Through Rockefeller Hall Window | The Cornell Daily Sun""",1974,1974,0,0,0,0
25-34,"""CALS Student Remembered as Leader of LGBTQ, Latinx Communities | The Cornell Daily Sun""",1946,0,1946,0,0,0
35-44,"""ICE Agents Arrest ‰Û÷Unlawfully Present Mexican National‰Ûª in Ithaca | The Cornell Daily Sun""",1946,0,0,0,1946,0
18-24,"""Cornell Braces for 18 Inches of Snow From Winter Storm Stella | The Cornell Daily Sun""",1939,1939,0,0,0,0
18-24,"""CORNELL CLOSE-UPS | Prof. David Gries Shares Cornell History of Programming, Reacts to Facebook Memes | The Cornell Daily Sun""",1932,1932,0,0,0,0
18-24,"""Cornell Dairy to Make Memes Into Reality With Joe Biden-Themed Ice Cream | The Cornell Daily Sun""",1903,1903,0,0,0,0
35-44,"""Hundreds ‰Û÷Rickrolled‰Ûª in Mysterious Campus Prank at Cornell | The Cornell Daily Sun""",1896,0,0,0,1896,0
45-54,"""Hundreds of Cornell Students Occupy Willard Straight Hall After Delivering Demands to University | The Cornell Daily Sun""",1889,0,0,1889,0,0
18-24,"""Sigma Phi Epsilon Placed on Interim Suspension | The Cornell Daily Sun""",1875,1875,0,0,0,0
35-44,"""Cornell Alumnus Responsible for Oscars Envelope Bungle | The Cornell Daily Sun""",1875,0,0,0,1875,0
18-24,"""Wings Over Ithaca to Reopen in Collegetown Under New Leadership | The Cornell Daily Sun""",1861,1861,0,0,0,0
45-54,"""Cornell Sees 10 Percent Boom in Early Decision Applications | The Cornell Daily Sun""",1847,0,0,1847,0,0
55-64,"""Man Fatally Shot, Run Over in Walmart Parking Lot, Witness Says | The Cornell Daily Sun""",1840,0,0,0,0,1840
18-24,"""Man Fatally Shot, Run Over in Walmart Parking Lot, Witness Says | The Cornell Daily Sun""",1832,1832,0,0,0,0
35-44,"""Psi Upsilon to Immediately Close Cornell Chapter, Will Open House to Student Groups | The Cornell Daily Sun""",1825,0,0,0,1825,0
18-24,"""Freshman‰Ûªs Video on Loneliness of College Transition Goes Viral | The Cornell Daily Sun""",1811,1811,0,0,0,0
25-34,"""Cornell Chimes to Play Grateful Dead Commemoration Concert | The Cornell Daily Sun""",1811,0,1811,0,0,0
25-34,"""Professor Has No Regrets After Controversial Chant | The Cornell Daily Sun""",1811,0,1811,0,0,0
18-24,"""LETTER TO THE EDITOR | Looking in the Locker Room Mirror | The Cornell Daily Sun""",1804,1804,0,0,0,0
25-34,"""Black Students United‰Ûªs Demands in Hand, Cornell President Faces First Big Test | The Cornell Daily Sun""",1797,0,1797,0,0,0
25-34,"""EDITORIAL: Vote ‰Û÷No‰Ûª on New York State Constitutional Convention | The Cornell Daily Sun""",1761,0,1761,0,0,0
18-24,"""Cornell Student Remembered for Her ‰Û÷Passion for Inclusivity‰Ûª | The Cornell Daily Sun""",1740,1740,0,0,0,0
18-24,"""HU | Cut the Bullshit Already | The Cornell Daily Sun""",1733,1733,0,0,0,0
18-24,"""BSU Declares ‰Û÷State of Emergency,‰Ûª Cornell President Launches Initiatives Following Assault | The Cornell Daily Sun""",1726,1726,0,0,0,0
18-24,"""EDITORIAL: Donald Trump is Not Cornell | The Cornell Daily Sun""",1726,1726,0,0,0,0
25-34,"""First Chinese-Born NHL Draft Pick Commits to Cornell | The Cornell Daily Sun""",1726,0,1726,0,0,0
18-24,"""Cornell Senior Awarded Rhodes Scholarship | The Cornell Daily Sun""",1719,1719,0,0,0,0
18-24,"""Foreign Government-Sponsored Hackers Breached ILR School in 2014 to Exact ‰Û÷Revenge‰Ûª Against U.S. | The Cornell Daily Sun""",1719,1719,0,0,0,0
25-34,"""NYS Dive Team Finds Dead Body of Cornell Student in Ithaca Falls Gorge | The Cornell Daily Sun""",1712,0,1712,0,0,0
55-64,"""Missing Cornell Student Found Dead in Gorge | The Cornell Daily Sun""",1712,0,0,0,0,1712
25-34,"""Cornell Postdoc Found Dead in Adirondack Mountain River | The Cornell Daily Sun""",1705,0,1705,0,0,0
35-44,"""Page not found | The Cornell Daily Sun""",1697,0,0,0,1697,0
18-24,"""Cornell Sees 10 Percent Boom in Early Decision Applications | The Cornell Daily Sun""",1690,1690,0,0,0,0
25-34,"""Uber and Lyft to Expand to Upstate New York | The Cornell Daily Sun""",1690,0,1690,0,0,0
45-54,"""ICE Agents Arrest ‰Û÷Unlawfully Present Mexican National‰Ûª in Ithaca | The Cornell Daily Sun""",1690,0,0,1690,0,0
18-24,"""15 Cornellians Named to Forbes‰Ûª 30 under 30 | The Cornell Daily Sun""",1676,1676,0,0,0,0
25-34,"""Cornell Classics Appointment Marks ‰Û÷Tectonic Shift‰Ûª for the Study of Classics | The Cornell Daily Sun""",1676,0,1676,0,0,0
65+,"""News | The Cornell Daily Sun""",1662,0,0,0,0,0
18-24,"""Black Students United‰Ûªs Demands in Hand, Cornell President Faces First Big Test | The Cornell Daily Sun""",1655,1655,0,0,0,0
18-24,"""West Campus Residents ‰Û÷Stunned‰Ûª by Use of N-Word at House Dinner | The Cornell Daily Sun""",1655,1655,0,0,0,0
45-54,"""Cornell Alumnus Responsible for Oscars Envelope Bungle | The Cornell Daily Sun""",1655,0,0,1655,0,0
18-24,"""Uber and Lyft to Expand to Upstate New York | The Cornell Daily Sun""",1619,1619,0,0,0,0
25-34,"""Former Cornell Fraternity President Pleads Guilty to Misdemeanor After Alleged Sexual Assault in Fraternity Bedroom | The Cornell Daily Sun""",1612,0,1612,0,0,0
18-24,"""LIVE: Mitch McBride ‰Ûª17 Faces Hearing Board | The Cornell Daily Sun""",1605,1605,0,0,0,0
25-34,"""Anti-Semitic Posters Appear on Ezra Cornell Statue, Campus Buildings | The Cornell Daily Sun""",1598,0,1598,0,0,0
18-24,"""JEONG | #15 in US News & World Report, #1 in our Hearts | The Cornell Daily Sun""",1591,1591,0,0,0,0
18-24,"""Photos: Students Shred, Sled to Celebrate Cornell‰Ûªs First Snow Day Since ‰Ûª07 | The Cornell Daily Sun""",1577,1577,0,0,0,0
25-34,"""County Legislature Candidate Was Accused of Rape While at Cornell | The Cornell Daily Sun""",1570,0,1570,0,0,0
18-24,"""Fraternity Member Allegedly Chants ‰Û÷Build a Wall‰Ûª Near Latino Living Center | The Cornell Daily Sun""",1563,1563,0,0,0,0
25-34,"""Cornell Experience Inspires MasterChef Finalist | The Cornell Daily Sun""",1555,0,1555,0,0,0
25-34,"""SEX ON THURSDAY | A Guide to Road Head | The Cornell Daily Sun""",1555,0,1555,0,0,0
25-34,"""Pirates of the Caribbean 5: Success or Failure? | The Cornell Daily Sun""",1541,0,1541,0,0,0
35-44,"""The ‰ÛÏBad Hombres‰Ûù of Savageland | The Cornell Daily Sun""",1513,0,0,0,1513,0
18-24,"""Wings Over Ithaca to Open in Collegetown This Week | The Cornell Daily Sun""",1506,1506,0,0,0,0
25-34,"""The ‰ÛÏBad Hombres‰Ûù of Savageland | The Cornell Daily Sun""",1506,0,1506,0,0,0
25-34,"""Professor Publishes Anti-Union Email Days Before Election | The Cornell Daily Sun""",1492,0,1492,0,0,0
18-24,"""Do Not Read This Review of Makoto Shinkai‰Ûªs Your Name | The Cornell Daily Sun""",1477,1477,0,0,0,0
18-24,"""Largest Witchcraft Collection in North America Opens at Cornell | The Cornell Daily Sun""",1477,1477,0,0,0,0
45-54,"""Black Students United‰Ûªs Demands in Hand, Cornell President Faces First Big Test | The Cornell Daily Sun""",1470,0,0,1470,0,0
45-54,"""Suspect in Walmart Homicide Holed up in Residence After Shooting at Police | The Cornell Daily Sun""",1456,0,0,1456,0,0
45-54,"""BSU Declares ‰Û÷State of Emergency,‰Ûª Cornell President Launches Initiatives Following Assault | The Cornell Daily Sun""",1449,0,0,1449,0,0
35-44,"""Cornell Classics Appointment Marks ‰Û÷Tectonic Shift‰Ûª for the Study of Classics | The Cornell Daily Sun""",1435,0,0,0,1435,0
45-54,"""Cornell Republicans Chair Fires Back at Ann Coulter ‰Ûª84 After Tweet | The Cornell Daily Sun""",1435,0,0,1435,0,0
55-64,"""BSU Declares ‰Û÷State of Emergency,‰Ûª Cornell President Launches Initiatives Following Assault | The Cornell Daily Sun""",1435,0,0,0,0,1435
35-44,"""Faculty Fears ‰Û÷Chilling Effect‰Ûª After Cornell Charges Student for Sharing Documents | The Cornell Daily Sun""",1428,0,0,0,1428,0
18-24,"""Cornell Postdoc Found Dead in Adirondack Mountain River | The Cornell Daily Sun""",1420,1420,0,0,0,0
18-24,"""Psi Upsilon Says Its Members Were Not Involved in Collegetown Assault | The Cornell Daily Sun""",1413,1413,0,0,0,0
45-54,"""Faculty Fears ‰Û÷Chilling Effect‰Ûª After Cornell Charges Student for Sharing Documents | The Cornell Daily Sun""",1406,0,0,1406,0,0
35-44,"""Black Students United‰Ûªs Demands in Hand, Cornell President Faces First Big Test | The Cornell Daily Sun""",1399,0,0,0,1399,0
18-24,"""Minivan Explodes Near Beebe Lake | The Cornell Daily Sun""",1392,1392,0,0,0,0
25-34,"""Cornell Dairy to Make Memes Into Reality With Joe Biden-Themed Ice Cream | The Cornell Daily Sun""",1392,0,1392,0,0,0
45-54,"""Letter to the Editor: Prof. David Collum, Chemistry, is owed an apology and a retraction | The Cornell Daily Sun""",1392,0,0,1392,0,0
18-24,"""Joe Biden Tells Cornell Seniors: ‰Û÷Go Out and Wake Us Up‰Ûª | The Cornell Daily Sun""",1385,1385,0,0,0,0
18-24,"""Cuomo‰Ûªs Free Tuition Plan Will Apply to Cornell‰Ûªs Contract Colleges, But With a Caveat | The Cornell Daily Sun""",1378,1378,0,0,0,0
65+,"""Devastated Cornellians ‰Û÷Mourn‰Ûª Election of Donald Trump at Cry In | The Cornell Daily Sun""",1378,0,0,0,0,0
25-34,"""15 Cornellians Named to Forbes‰Ûª 30 under 30 | The Cornell Daily Sun""",1364,0,1364,0,0,0
25-34,"""Deer Dies in Cornell Graduate Student Office After Leaping Through Rockefeller Hall Window | The Cornell Daily Sun""",1364,0,1364,0,0,0
55-64,"""ICE Agents Arrest ‰Û÷Unlawfully Present Mexican National‰Ûª in Ithaca | The Cornell Daily Sun""",1357,0,0,0,0,1357
25-34,"""Suspect in Walmart Homicide Holed up in Residence After Shooting at Police | The Cornell Daily Sun""",1335,0,1335,0,0,0
55-64,"""Page not found | The Cornell Daily Sun""",1335,0,0,0,0,1335
18-24,"""Police Charge Cornell Student With Additional Misdemeanor in Collegetown Assault | The Cornell Daily Sun""",1328,1328,0,0,0,0
18-24,"""Professor Has No Regrets After Controversial Chant | The Cornell Daily Sun""",1328,1328,0,0,0,0
18-24,"""Cornell Student Converts Old School Bus Into Solar Powered Home | The Cornell Daily Sun""",1321,1321,0,0,0,0
18-24,"""GUEST ROOM | Cornell Freshmen, Rush! | The Cornell Daily Sun""",1321,1321,0,0,0,0
18-24,"""Nor‰Ûªeaster Expected to Drop Up to 15 Inches of Snow on Ithaca | The Cornell Daily Sun""",1314,1314,0,0,0,0
35-44,"""Cornell Republicans Chair Fires Back at Ann Coulter ‰Ûª84 After Tweet | The Cornell Daily Sun""",1307,0,0,0,1307,0
18-24,"""The Solar Eclipse: What To Expect, Safety Tips, And More | The Cornell Daily Sun""",1293,1293,0,0,0,0
18-24,"""Fake Eminem Event Page Has Roots in New Jersey | The Cornell Daily Sun""",1278,1278,0,0,0,0
18-24,"""Pollack Cuts Ties With Nike Citing Failure to Meet Labor Guidelines | The Cornell Daily Sun""",1278,1278,0,0,0,0
18-24,"""Prosecutor Charges White Cornell Student With Hate Crime for Allegedly Assaulting Black Student | The Cornell Daily Sun""",1278,1278,0,0,0,0
45-54,"""Psi Upsilon to Immediately Close Cornell Chapter, Will Open House to Student Groups | The Cornell Daily Sun""",1278,0,0,1278,0,0
18-24,"""Morgan Withdraws From NBA Draft Having Heard From 3 Teams | The Cornell Daily Sun""",1271,1271,0,0,0,0
35-44,"""Cornell Postdoc Found Dead in Adirondack Mountain River | The Cornell Daily Sun""",1264,0,0,0,1264,0
25-34,"""Former Fraternity House Vandalized Following Possible Hate Crime | The Cornell Daily Sun""",1257,0,1257,0,0,0
35-44,"""BSU Declares ‰Û÷State of Emergency,‰Ûª Cornell President Launches Initiatives Following Assault | The Cornell Daily Sun""",1257,0,0,0,1257,0
18-24,"""Cornell Police Seek Help Identifying Suspects After Nearly $12,000 in Valuables Stolen | The Cornell Daily Sun""",1250,1250,0,0,0,0
25-34,"""Chris Savino, Cartoon Brew, and How NOT to Respond to Sexual Violence | The Cornell Daily Sun""",1250,0,1250,0,0,0
18-24,"""6-Time Olympic Medalist Aly Raisman to Speak at Cornell | The Cornell Daily Sun""",1243,1243,0,0,0,0
45-54,"""The ‰ÛÏBad Hombres‰Ûù of Savageland | The Cornell Daily Sun""",1243,0,0,1243,0,0
55-64,"""Hundreds ‰Û÷Rickrolled‰Ûª in Mysterious Campus Prank at Cornell | The Cornell Daily Sun""",1236,0,0,0,0,1236
25-34,"""1 in 10 C.U. Students Are From Richest 1%, While Low-Income Students Remain Underrepresented, Study Finds | The Cornell Daily Sun""",1229,0,1229,0,0,0
25-34,"""Lawsuit Alleges Bias in University Sexual Assault Investigation | The Cornell Daily Sun""",1229,0,1229,0,0,0
18-24,"""Cornell Classics Appointment Marks ‰Û÷Tectonic Shift‰Ûª for the Study of Classics | The Cornell Daily Sun""",1222,1222,0,0,0,0
25-34,"""The Not So Old West: The Magnificent Seven Updated | The Cornell Daily Sun""",1222,0,1222,0,0,0
55-64,"""Louisiana Student Cries After Receiving Cornell Acceptance Letter in Viral Video | The Cornell Daily Sun""",1222,0,0,0,0,1222
